Package,Class,Member Name,Member ID or top-level category,SnippetIdInTheYAMLFile,MethodNameInTheSnippet
Excel,ClearApplyTo,,enum,excel-range-hyperlink,clearHyperlinks
Excel,CloseBehavior,,enum,excel-workbook-save-and-close,closeWithoutSave
Excel,ColorScaleConditionalFormat,criteria,,excel-range-conditional-formatting-basic,applyColorScaleFormat
Excel,Comment,content,,excel-comment-basics,editComment
Excel,Comment,delete,1,excel-comment-basics,deleteComment
Excel,Comment,load,2,excel-comment-basics,getCommentMetadata
Excel,Comment,resolved,,excel-comment-resolution,resolveComment
Excel,CommentCollection,add,1,excel-comment-basics,addCommentToCell
Excel,CommentCollection,onAdded,,excel-events-comments,registerEventHandlers
Excel,CommentCollection,onAdded,,excel-events-comments,commentAdded
Excel,CommentCollection,onChanged,,excel-events-comments,registerEventHandlers
Excel,CommentCollection,onChanged,,excel-events-comments,commentChanged
Excel,CommentCollection,onDeleted,,excel-events-comments,registerEventHandlers
Excel,CommentCollection,onDeleted,,excel-events-comments,commentDeleted
Excel,CommentReply,content,,excel-comment-replies,editCommentReply
Excel,CommentReply,delete,1,excel-comment-replies,deleteCommentReply
Excel,CommentReplyCollection,add,1,excel-comment-replies,addFirstCommentReply
Excel,CommentRichContent,mentions,,excel-comment-mentions,addCommentWithMention
Excel,ConditionalCellValueRule,formula1,,excel-range-conditional-formatting-basic,applyCellValueFormat
Excel,ConditionalCellValueRule,operator,,excel-range-conditional-formatting-basic,applyCellValueFormat
Excel,ConditionalColorScaleCriteria,,interface,excel-range-conditional-formatting-basic,applyColorScaleFormat
Excel,ConditionalColorScaleCriterion,,interface,excel-range-conditional-formatting-basic,applyColorScaleFormat
Excel,ConditionalDataBarDirection,,enum,excel-range-conditional-formatting-basic,applyDataBarFormat
Excel,ConditionalFormat,cellValue,,excel-range-conditional-formatting-basic,applyCellValueFormat
Excel,ConditionalFormat,colorScale,,excel-range-conditional-formatting-basic,applyColorScaleFormat
Excel,ConditionalFormat,custom,,excel-range-conditional-formatting-basic,applyCustomFormat
Excel,ConditionalFormat,dataBar,,excel-range-conditional-formatting-basic,applyDataBarFormat
Excel,ConditionalFormat,getRange,1,excel-range-conditional-formatting-basic,listConditionalFormats
Excel,ConditionalFormat,iconSet,,excel-range-conditional-formatting-basic,applyIconSetFormat
Excel,ConditionalFormat,preset,,excel-range-conditional-formatting-basic,applyPresetFormat
Excel,ConditionalFormat,textComparison,,excel-range-conditional-formatting-basic,applyTextFormat
Excel,ConditionalFormat,type,,excel-range-conditional-formatting-basic,listConditionalFormats
Excel,ConditionalFormatCollection,add,1,excel-range-conditional-formatting-basic,applyColorScaleFormat
Excel,ConditionalFormatCollection,clearAll,1,excel-range-conditional-formatting-basic,clearAllConditionalFormats
Excel,ConditionalFormatCollection,getItemAt,1,excel-range-conditional-formatting-basic,listConditionalFormats
Excel,ConditionalFormatColorCriterionType,,enum,excel-range-conditional-formatting-basic,applyColorScaleFormat
Excel,ConditionalFormatIconRuleType,,enum,excel-range-conditional-formatting-basic,applyIconSetFormat
Excel,ConditionalFormatPresetCriterion,,enum,excel-range-conditional-formatting-advanced,applyConditionalFormatsWithDefaultPriority
Excel,ConditionalFormatRule,formula,,excel-range-conditional-formatting-basic,applyCustomFormat
Excel,ConditionalFormatType,,enum,excel-range-conditional-formatting-advanced,applyConditionalFormatsWithDefaultPriority
Excel,ConditionalIconCriterion,formula,,excel-range-conditional-formatting-basic,applyIconSetFormat
Excel,ConditionalIconCriterion,operator,,excel-range-conditional-formatting-basic,applyIconSetFormat
Excel,ConditionalIconCriterion,type,,excel-range-conditional-formatting-basic,applyIconSetFormat
Excel,ConditionalIconCriterionOperator,,enum,excel-range-conditional-formatting-basic,applyIconSetFormat
Excel,ConditionalPresetCriteriaRule,criterion,,excel-range-conditional-formatting-basic,applyPresetFormat
Excel,ConditionalTextComparisonRule,text,,excel-range-conditional-formatting-basic,applyTextFormat
Excel,ConditionalTextOperator,,enum,excel-range-conditional-formatting-basic,applyTextFormat
Excel,ConnectorType,,enum,excel-shape-lines,addStraightLine
Excel,ContentType,,enum,excel-comment-mentions,addCommentWithMention
Excel,CultureInfo,datetimeFormat,,excel-culture-info-date-time,writeDateTimeSetting
Excel,CustomConditionalFormat,format,,excel-range-conditional-formatting-basic,applyCustomFormat
Excel,CustomPropertyCollection,add,1,excel-document-custom-properties,setCustomDocProperty
Excel,CustomXmlPart,delete,1,excel-custom-xml-parts-create-set-get-and-delete-custom-xml-parts,deleteCustomXmlPart
Excel,CustomXmlPart,getXml,1,excel-custom-xml-parts-create-set-get-and-delete-custom-xml-parts,createCustomXmlPart
Excel,CustomXmlPart,id,,excel-custom-xml-parts-create-set-get-and-delete-custom-xml-parts,createCustomXmlPart
Excel,CustomXmlPart,setXml,1,excel-custom-xml-parts-create-set-get-and-delete-custom-xml-parts,changeCustomXmlPart
Excel,CustomXmlPartCollection,add,1,excel-custom-xml-parts-create-set-get-and-delete-custom-xml-parts,createCustomXmlPart
Excel,CustomXmlPartCollection,getItem,1,excel-custom-xml-parts-create-set-get-and-delete-custom-xml-parts,changeCustomXmlPart
Excel,CustomXmlPartCollection,getByNamespace,1,excel-custom-xml-parts-test-xml-for-unique-namespace,testForUniqueNamespace
Excel,CustomXmlPartScopedCollection,getItemOrNullObject,1,excel-custom-xml-parts-create-set-get-and-delete-custom-xml-parts,deleteCustomXmlPart
Excel,CustomXmlPartScopedCollection,getCount,1,excel-custom-xml-parts-test-xml-for-unique-namespace,testForUniqueNamespace
Excel,CustomXmlPartScopedCollection,getOnlyItem,1,excel-custom-xml-parts-test-xml-for-unique-namespace,testForUniqueNamespace
Excel,DataBarConditionalFormat,barDirection,,excel-range-conditional-formatting-basic,applyDataBarFormat
Excel,DataPivotHierarchy,showAs,,excel-pivottable-calculations,showPercentages
Excel,DataPivotHierarchy,name,,excel-pivottable-create-and-modify,changeHierarchyNames
Excel,DataValidation,errorAlert,,excel-data-validation,warnAboutCommentRedundancy
Excel,DataValidation,prompt,,excel-data-validation,addPositiveNumberRequirement
Excel,DataValidation,rule,,excel-data-validation,requireApprovedName
