Package,Class,Member Name,Member ID or top-level category,SnippetIdInTheYAMLFile,MethodNameInTheSnippet
Word,CoauthoringLockCollection,,class,word-coauthoring-manage-coauthoring-locks,getLocks
Word,CoauthoringLockCollection,add,1,word-coauthoring-manage-coauthoring-locks,addLock
Word,CoauthoringUpdateCollection,,class,word-coauthoring-get-coauthoring-updates,getUpdates
Word,ComboBoxContentControl,,class,word-content-controls-insert-and-change-combo-box-content-control,insertComboBoxContentControl
Word,ComboBoxContentControl,addListItem,1,word-content-controls-insert-and-change-combo-box-content-control,addItemToComboBoxContentControl
Word,ComboBoxContentControl,deleteAllListItems,1,word-content-controls-insert-and-change-combo-box-content-control,deleteListFromComboBoxContentControl
Word,ComboBoxContentControl,listItems,,word-content-controls-insert-and-change-combo-box-content-control,deleteItemFromComboBoxContentControl
Word,Comment,,class,word-document-manage-comments,insertComment
Word,Comment,delete,1,word-document-manage-comments,deleteFirstCommentInSelection
Word,Comment,getRange,1,word-document-manage-comments,getFirstCommentRangeInSelection
Word,Comment,reply,1,word-document-manage-comments,replyToFirstActiveCommentInSelection
Word,Comment,content,,word-document-manage-comments,editFirstCommentInSelection
Word,Comment,contentRange,,word-document-manage-comments,getFirstCommentRangeInSelection
Word,Comment,replies,,word-document-manage-comments,getRepliesToFirstCommentInSelection
Word,Comment,resolved,,word-document-manage-comments,toggleResolvedStatusOfFirstCommentInSelection
Word,CommentChangeType,,enum,word-manage-comments,registerEventHandlers
Word,CommentChangeType,,enum,word-manage-comments,onChangedHandler
Word,CommentCollection,,class,word-document-manage-comments,replyToFirstActiveCommentInSelection
Word,CommentCollection,getFirstOrNullObject,1,word-document-manage-comments,getFirstCommentRangeInSelection
Word,CommentCollection,items,,word-document-manage-comments,replyToFirstActiveCommentInSelection
Word,CommentContentRange,,class,word-document-manage-comments,getFirstCommentRangeInSelection
Word,CommentDetail,,interface,word-manage-comments,registerEventHandlers
Word,CommentDetail,,interface,word-manage-comments,onEventHandler
Word,CommentEventArgs,,interface,word-manage-comments,registerEventHandlers
Word,CommentEventArgs,,interface,word-manage-comments,onChangedHandler
